active,show_name,venue_name,location_detail,day,frequency,frequency_custom_text,start_time,booker,borough,instagram_url,show_type,import_batch,notes
true,Only friends Comedy,Tootles and French,,Monday,weekly,,8:00 PM,Alexis Ramírez and David Bakker,Queens,https://www.instagram.com/onlyfriendscomedy_?igsh=MXBzMTYzZnIycWlscg==,independent,nyc-comedy-shows-2026-08-20,
true,Smash Comedy,Brujo Taco,,Monday,weekly,,8:00 PM,Royce Winner,Brooklyn,https://www.instagram.com/smashcomedyshow?igsh=MWJodWZiM204Nmwwcw==,independent,nyc-comedy-shows-2026-08-20,
true,Upper Best Side Comedy,E's Bar,,Monday,weekly,,8:00 PM,Dan Fitzpatrick & Sam Frank,Manhattan,https://www.instagram.com/thedanopticon/,independent,nyc-comedy-shows-2026-08-20,
false,"Comedy in Harlem, Smokey's living room""",Comedy in Harlem,,Monday,weekly,,7:30 PM,Smokey Suarez,Harlem,https://www.instagram.com/smokeysuarez/,independent,nyc-comedy-shows-2026-08-20,
false,Monday Night Mob Night,Stand Up NY,,Monday,weekly,,7:00 PM,Kevin Hurley and George Vanarthos,Manhattan,https://www.instagram.com/comedymobnyc/,independent,nyc-comedy-shows-2026-08-20,
true,Best of Brooklyn,Tiny Cupboard,,Monday,weekly,,8:00 PM,Matt and Amy,Brooklyn,https://www.instagram.com/thetinycupboard/,independent,nyc-comedy-shows-2026-08-20,
true,Best of Brooklyn,Tiny Cupboard,,Monday,weekly,,9:30 PM,Matt and Amy,Brooklyn,https://www.instagram.com/thetinycupboard/,independent,nyc-comedy-shows-2026-08-20,
false,Idiots After Dark!,The Mayfly,,Monday,weekly,,10:00 PM,Andrew Ginsberg & Isaac Gartenberg,Manhattan,https://www.instagram.com/thevillageidiot/,independent,nyc-comedy-shows-2026-08-20,
true,Mo Mondays No Problems,Mo's Bar & Lounge,,Monday,weekly,,8:30 PM,Kevin Lee St Pierre,Brooklyn,https://www.instagram.com/officiallykevinlee/,independent,nyc-comedy-shows-2026-08-20,
false,"Not a boy, Not a girl.",Mood Ring,,Monday,monthly,,8:00 PM,Will Morrison,Brooklyn,https://www.instagram.com/notaboynotagirlcomedy/,independent,nyc-comedy-shows-2026-08-20,
false,Pure Chaos Comedy,Ros Bar,,Monday,weekly,,10:00 PM,Brek Gordon,Manhattan,https://www.instagram.com/kewlshrek/?img_index=1,independent,nyc-comedy-shows-2026-08-20,
true,Comedy at Alke Bar,Alke Bar,,Monday,weekly,,8:00 PM,Chris Brown,Harlem,https://www.instagram.com/chrisbrowncomedy/,independent,nyc-comedy-shows-2026-08-20,
true,Comedy Village,Comedy Village,,Monday,weekly,,7:00 PM,Ray Goots,Manhattan,https://www.instagram.com/comedyvillagenyc/,independent,nyc-comedy-shows-2026-08-20,
true,Comedy Village,Comedy Village,,Monday,weekly,,9:00 PM,Ray Goots,Manhattan,https://www.instagram.com/comedyvillagenyc/,independent,nyc-comedy-shows-2026-08-20,
false,Brownie Points,Flop House,,Monday,weekly,,9:00 PM,Demetrius Fields,Brooklyn,https://www.instagram.com/demetriusfields?igsh=cXM4NnVvcWZuN3Rr,independent,nyc-comedy-shows-2026-08-20,
false,Three Monkeys Comedy,Three Monkeys Bar,,Monday,weekly,,8:00 PM,Sheba Mason,Manhattan,https://www.instagram.com/sheba_mason/,club_house,nyc-comedy-shows-2026-08-20,
true,The Pear,Grisly Pear,,Monday,weekly,,8:00 PM,Jess,Manhattan,https://www.instagram.com/gpny_admin?igsh=ZmhxeTh2NTN5dW02,club_house,nyc-comedy-shows-2026-08-20,
true,The Pear,Grisly Pear,,Monday,weekly,,10:00 PM,Jess,Manhattan,https://www.instagram.com/gpny_admin?igsh=ZmhxeTh2NTN5dW02,club_house,nyc-comedy-shows-2026-08-20,
true,The Pear,Grisly Pear,,Monday,weekly,,11:59 PM,Jess,Manhattan,https://www.instagram.com/gpny_admin?igsh=ZmhxeTh2NTN5dW02,club_house,nyc-comedy-shows-2026-08-20,
true,House Show,The Comedy Shop,,Monday,weekly,,8:00 PM,Eddie,Manhattan,https://www.instagram.com/thecomedyshopvillage/,club_house,nyc-comedy-shows-2026-08-20,
true,House Show,The Comedy Shop,,Monday,weekly,,10:00 PM,Eddie,Manhattan,https://www.instagram.com/thecomedyshopvillage/,club_house,nyc-comedy-shows-2026-08-20,
false,Tiny Cupboard,Tiny Cupboard,,Monday,weekly,,10:00 PM,Matt and Amy,Brooklyn,https://www.instagram.com/thetinycupboard/,club_house,nyc-comedy-shows-2026-08-20,
true,The Pear Midtown,Grisly Pear,,Monday,weekly,,7:30 PM,Jess,Manhattan,https://www.instagram.com/gpny_admin?igsh=ZmhxeTh2NTN5dW02,club_house,nyc-comedy-shows-2026-08-20,
true,The Pear Midtown,Grisly Pear,,Monday,weekly,,9:30 PM,Jess,Manhattan,https://www.instagram.com/gpny_admin?igsh=ZmhxeTh2NTN5dW02,club_house,nyc-comedy-shows-2026-08-20,
true,House Show,St Marks Comedy Club,,Monday,weekly,,7:30 PM,Alex Carabano,Manhattan,https://www.instagram.com/stmarkscomedyclub/?hl=en,club_house,nyc-comedy-shows-2026-08-20,
true,House Show,St Marks Comedy Club,,Monday,weekly,,9:30 PM,Alex Carabano,Manhattan,https://www.instagram.com/stmarkscomedyclub/?hl=en,club_house,nyc-comedy-shows-2026-08-20,
true,Ambush Comedy,DM for Location,,Tuesday,weekly,,7:00 PM,Brittnay Cardwell and David Piccolomini,Brooklyn,https://www.instagram.com/ambushcomedy/,independent,nyc-comedy-shows-2026-08-20,DM for location/address
true,Artichoke Comedy,Artichoke pizza bk (18 wyckoff ave),18 wyckoff ave,Tuesday,weekly,,8:00 PM,@artichokecomedy on ig for stage time,Brooklyn,artichoke comedy on IG,independent,nyc-comedy-shows-2026-08-20,
false,Bushwicks Finest,Tiny Cupboard (church),church,Tuesday,weekly,,8:00 PM,Matt and Amy,Brooklyn,https://www.instagram.com/thetinycupboard/,independent,nyc-comedy-shows-2026-08-20,
true,Roofless,Greenich Village,,Tuesday,weekly,,9:30 PM,Erik Bransteen,Manhattan,https://www.instagram.com/erikbcomic/,independent,nyc-comedy-shows-2026-08-20,
false,Poppy Cock,The Slipper Room,,Tuesday,weekly,,8:00 PM,Mikala Lee,Manhattan,https://www.instagram.com/mikalalk/,independent,nyc-comedy-shows-2026-08-20,
